Invoice ID,Account ID,Account,Status_Updated_Date,Salesperson,Sales,State,Item Class,Material_Service,Status,Customer Type,Year,Quarter,Month
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,0,Georgia,Miscellaneous,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,1152.1,Georgia,Amplifiers,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,125,Georgia,Enclosures,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,1336,Georgia,Network Devices,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,1856,Georgia,Speakers,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,1160.9,Georgia,Wire,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,1140,Georgia,Accessories,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7900,1000118,Bibb County Public Schools,01/04/2021 00:00,SE - Kevin M,813,Georgia,Kits,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7909,1000246,Collier County Public Schools - FL,01/04/2021 00:00,FL - Gary E,0,Florida,Accessories,Material,Invoiced Sales,Customer,2021,Q2,4
INV7909,1000246,Collier County Public Schools - FL,01/04/2021 00:00,FL - Gary E,0,Florida,Batteries,Material,Invoiced Sales,Customer,2021,Q2,4
INV7909,1000246,Collier County Public Schools - FL,01/04/2021 00:00,FL - Gary E,0,Florida,Microphones,Material,Invoiced Sales,Customer,2021,Q2,4
INV7909,1000246,Collier County Public Schools - FL,01/04/2021 00:00,FL - Gary E,23550,Florida,Kits,Material,Invoiced Sales,Customer,2021,Q2,4
INV7903,1000360,Eminent Technical Solutions (ETS),01/04/2021 00:00,NW - Tanner A,0,Utah,Accessories,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7903,1000360,Eminent Technical Solutions (ETS),01/04/2021 00:00,NW - Tanner A,0,Utah,Batteries,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7903,1000360,Eminent Technical Solutions (ETS),01/04/2021 00:00,NW - Tanner A,0,Utah,Microphones,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7903,1000360,Eminent Technical Solutions (ETS),01/04/2021 00:00,NW - Tanner A,5710,Utah,Kits,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,0,Utah,Batteries,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,0,Utah,Microphones,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,0,Utah,Miscellaneous,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,0,Utah,Network Devices,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,0,Utah,Wire,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,2362.08,Utah,Power Supply,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,4162.5,Utah,Accessories,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7902,1000735,Marshall Industries,01/04/2021 00:00,NW - Tanner A,29257.01,Utah,Kits,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7906,1000739,Marco Technologies LLC,01/04/2021 00:00,CL - Tim B Jr,0,South Dakota,3rd Party License,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7906,1000739,Marco Technologies LLC,01/04/2021 00:00,CL - Tim B Jr,0,South Dakota,Speakers,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7906,1000739,Marco Technologies LLC,01/04/2021 00:00,CL - Tim B Jr,0,South Dakota,Miscellaneous,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7906,1000739,Marco Technologies LLC,01/04/2021 00:00,CL - Tim B Jr,0,South Dakota,Accessories,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7906,1000739,Marco Technologies LLC,01/04/2021 00:00,CL - Tim B Jr,1648.03,South Dakota,Kits,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Amplifiers,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Power Supply,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Network Devices,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Speakers,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Wire,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Miscellaneous,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Accessories,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Batteries,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,0,Washington,Microphones,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7901,1001103,Sound Electronics,01/04/2021 00:00,West - Rulon C,26151.16,Washington,Kits,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Amplifiers,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Batteries,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Microphones,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Miscellaneous,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Network Devices,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Power Supply,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Speakers,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,0,Utah,Wire,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,2917.78,Utah,Enclosures,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,456.37,Utah,Accessories,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7907,1001164,Summit Academy High School,01/04/2021 00:00,NW - Tanner A,26912.87,Utah,Kits,Material,Invoiced Sales,Reseller,2021,Q2,4
INV7898,1001287,VSC,01/04/2021 00:00,CL - Alex N,33,Michigan,Programming Services,Service,Invoiced Sales,Customer,2021,Q2,4
INV7917,1000009,A3 Communications,01/05/2021 00:00,SE - Patrick S,4839.5,South Carolina,Commissioning Services,Service,Invoiced Sales,Reseller,2021,Q2,5
INV7938,1000031,Alpine School District,01/05/2021 00:00,NW - Tanner A,53.76,Utah,Batteries,Material,Invoiced Sales,Customer,2021,Q2,5
INV7925,1000700,Luma Audio & Video,01/05/2021 00:00,CL - Alex N,114.15,Indiana,Power Supply,Material,Invoiced Sales,Reseller,2021,Q2,5
INV7925,1000700,Luma Audio & Video,01/05/2021 00:00,CL - Alex N,37.65,Indiana,Wire,Material,Invoiced Sales,Reseller,2021,Q2,5
INV7923,1001169,Summit Solutionz Inc.,01/05/2021 00:00,SE - Kevin M,784,Georgia,Speakers,Material,Invoiced Sales,Reseller,2021,Q2,5
INV7924,1001217,Thomas Edison Charter School North,01/05/2021 00:00,NW - Tanner A,0,Utah,Speakers,Material,Invoiced Sales,Reseller,2021,Q2,5
